iter	Passed	Remaining
891	66491	8050
892	66589	7978
893	66710	7909
894	66836	7841
895	66981	7774
896	67075	7702
897	67153	7627
898	67250	7555
899	67370	7485
900	67475	7414
901	67561	7340
902	67656	7267
903	67774	7197
904	67863	7123
905	67964	7051
906	68055	6978
907	68140	6904
908	68235	6831
909	68349	6759
910	68468	6689
911	68556	6615
912	68652	6541
913	68790	6472
914	68927	6403
915	69037	6330
916	69130	6257
917	69223	6183
918	69325	6110
919	69447	6038
920	69537	5964
921	69625	5890
922	69717	5816
923	69833	5743
924	69936	5670
925	70049	5597
926	70115	5521
927	70172	5444
928	70220	5366
929	70267	5288
930	70321	5211
931	70370	5134
932	70421	5057
933	70473	4979
934	70527	4903
935	70577	4825
936	70627	4748
937	70678	4671
938	70727	4594
939	70775	4517
940	70827	4440
941	70876	4363
942	70926	4287
943	70983	4210
944	71041	4134
945	71088	4057
946	71133	3981
947	71175	3904
948	71219	3827
949	71265	3750
950	71314	3674
951	71361	3598
952	71408	3521
953	71457	3445
954	71503	3369
955	71549	3293
956	71589	3216
957	71633	3140
958	71675	3064
959	71715	2988
960	71765	2912
961	71825	2837
962	71884	2761
963	71936	2686
964	71983	2610
965	72029	2535
966	72068	2459
967	72114	2383
968	72162	2308
969	72211	2233
970	72257	2158
971	72305	2082
972	72354	2007
973	72403	1932
974	72453	1857
975	72498	1782
976	72548	1707
977	72593	1632
978	72638	1558
979	72681	1483
980	72725	1408
981	72785	1334
982	72835	1259
983	72886	1185
984	72938	1110
985	72996	1036
986	73045	962
987	73087	887
988	73128	813
989	73178	739
990	73219	664
991	73268	590
992	73316	516
993	73364	442
994	73413	368
995	73457	295
996	73500	221
997	73546	147
998	73588	73
999	73637	0
